title,image_url,link_url,link_type,platform_name
PLANET MOON,http://www.asahi-net.or.jp/~cs8k-cyu/img/planet_moon.jpg,http://wa.zozuar.org/code.php?c=jntT,detail,flash
LASER GRAZE,http://www.asahi-net.or.jp/~cs8k-cyu/img/laser_graze.jpg,http://wa.zozuar.org/code.php?c=oIg8,detail,flash
CHARGE SEVEN,http://www.asahi-net.or.jp/~cs8k-cyu/img/charge_seven.jpg,http://wa.zozuar.org/code.php?c=faFsE,detail,flash
ocwalls,http://www.asahi-net.or.jp/~cs8k-cyu/img/ocwalls.jpg,http://wa.zozuar.org/code.php?c=tB4v,detail,flash
boxinbox,http://www.asahi-net.or.jp/~cs8k-cyu/img/boxinbox.jpg,http://wa.zozuar.org/code.php?c=2D7T,detail,flash
boxed,http://www.asahi-net.or.jp/~cs8k-cyu/img/boxed.jpg,http://wa.zozuar.org/code.php?c=cOX2,detail,flash
LeftRedRightBlue,undefined,http://wa.zozuar.org/code.php?c=gb4z,detail,flash
CAR GATE,undefined,http://wa.zozuar.org/code.php?c=lHQC,detail,flash
astball,undefined,http://wa.zozuar.org/code.php?c=5fyy,detail,flash
WallAll,undefined,http://wa.zozuar.org/code.php?c=3bzD,detail,flash
WASD THRUST,http://www.asahi-net.or.jp/~cs8k-cyu/img/wasd_thrust.jpg ,http://fl.corge.net/c/cUIn,detail,flash
TANK FIRES BLOCK,http://www.asahi-net.or.jp/~cs8k-cyu/img/tank_fires_block.jpg,http://fl.corge.net/c/dxL8,detail,flash
JUMP GAME,undefined,http://fl.corge.net/c/pgP7,detail,flash
DEFRAG MAN,http://www.asahi-net.or.jp/~cs8k-cyu/img/defrag_man.jpg,http://wa.zozuar.org/code.php?c=sFNv,detail,flash
SPIKE TUBES,http://www.asahi-net.or.jp/~cs8k-cyu/img/spike_tubes.jpg,http://wa.zozuar.org/code.php?c=zgsg,detail,flash
NO BULLET NO DEATH,http://www.asahi-net.or.jp/~cs8k-cyu/img/no_bullet_no_death.jpg,http://wa.zozuar.org/code.php?c=5EuJ,detail,flash
